"Time","Location ID","Soil Type","Analyte ID","Species ID","Result Type","Units","Minimum","5th Percentile","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","95th Percentile","Maximum","Mean","Standard Deviation"
2012,"QRD1-1","NONE","Hg","SEDI","CONCEN","ug/kg", 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 0.00000E+00
2012,"QRD1-1","NONE","Hg","PWAT","CONCEN","ug/L", 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 0.00000E+00
2012,"QRD1-1","NONE","Hg","BSHRMP","BURDEN","ug/kg dry", 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 1.97856E+03, 0.00000E+00
2012,"QRD1-1","NONE","Hg","OCTOPI","BURDEN","ug/kg dry", 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 2.67340E+02, 0.00000E+00
2012,"QRD1-1","NONE","Zn","SWAT","CONCEN","ug/L", 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 0.00000E+00
2012,"QRD1-1","NONE","Zn","SEDI","CONCEN","ug/kg", 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 0.00000E+00
2012,"QRD1-1","NONE","Zn","PWAT","CONCEN","ug/L", 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 0.00000E+00
2012,"QRD1-1","NONE","Zn","BSHRMP","BURDEN","ug/kg dry", 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 7.97897E+02, 0.00000E+00
2012,"QRD1-1","NONE","Zn","OCTOPI","BURDEN","ug/kg dry", 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 8.93397E+02, 0.00000E+00
2012,"QRD2-1","NONE","ACNAPE","SWAT","CONCEN","ug/L", 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 2.20000E-04, 0.00000E+00
2012,"QRD2-1","NONE","ACNAPE","SEDI","CONCEN","ug/kg", 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 0.00000E+00
2012,"QRD2-1","NONE","ACNAPE","PWAT","CONCEN","ug/L", 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 0.00000E+00
2012,"QRD2-1","NONE","ACNAPE","BSHRMP","BURDEN","ug/g lipid", 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 9.10995E-03, 0.00000E+00
2012,"QRD2-1","NONE","ACNAPE","OCTOPI","BURDEN","ug/g lipid", 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 3.17281E-02, 0.00000E+00
